2, 3, 3, 3, 1, 3, 0, 3, 3, 2, 2, 3, 1, 3, 2, 1, 1, 1, 2, 3, 3, 1, 3, 1, 0, 3, 0, 0, 2, 2, 1, 0, 32
1, 3, 2, 3, 2, 1, 0, 3, 2, 3, 0, 1, 1, 3, 1, 3, 0, 3, 3, 2, 2, 0, 2, 0, 1, 1, 3, 1, 1, 3, 3, 2, 29
1, 0, 0, 2, 2, 0, 1, 1, 0, 3, 0, 1, 3, 3, 1, 3, 2, 1, 3, 2, 2, 1, 2, 0, 1, 1, 3, 1, 0, 0, 3, 2, 27
3, 0, 0, 1, 1, 3, 0, 2, 3, 0, 2, 1, 0, 1, 2, 2, 1, 1, 3, 0, 3, 1, 0, 1, 1, 2, 0, 3, 2, 2, 0, 1, 21
0, 0, 0, 3, 1, 3, 3, 3, 3, 2, 2, 3, 0, 2, 2, 2, 3, 1, 2, 2, 3, 1, 0, 1, 1, 0, 0, 2, 2, 1, 1, 0, 19
0, 0, 0, 3, 1, 3, 3, 3, 3, 2, 1, 3, 0, 2, 2, 2, 3, 1, 2, 2, 3, 1, 0, 1, 1, 0, 3, 2, 2, 1, 1, 0, 19
3, 0, 2, 2, 2, 1, 2, 1, 2, 3, 0, 1, 1, 3, 1, 3, 2, 1, 3, 2, 2, 0, 2, 0, 0, 1, 3, 1, 2, 0, 3, 3, 17
1, 1, 0, 0, 1, 3, 3, 2, 3, 0, 2, 2, 0, 2, 2, 2, 3, 3, 2, 2, 3, 0, 1, 1, 0, 2, 0, 2, 2, 1, 2, 0, 16
2, 0, 0, 3, 1, 3, 0, 3, 0, 0, 2, 3, 0, 2, 2, 2, 3, 1, 2, 0, 3, 1, 0, 1, 1, 2, 0, 2, 2, 1, 0, 0, 16
1, 3, 2, 3, 2, 1, 0, 3, 2, 3, 0, 1, 1, 3, 1, 3, 0, 3, 3, 2, 2, 0, 2, 0, 1, 1, 3, 1, 3, 0, 3, 3, 16
2, 0, 0, 3, 1, 3, 0, 3, 0, 0, 2, 3, 0, 1, 2, 3, 3, 1, 2, 2, 3, 1, 0, 1, 1, 2, 0, 2, 2, 1, 0, 0, 16
2, 0, 3, 1, 1, 3, 0, 2, 3, 0, 2, 1, 0, 1, 2, 2, 1, 1, 1, 0, 3, 1, 0, 1, 1, 2, 0, 3, 2, 2, 0, 3, 16
0, 0, 0, 3, 1, 3, 3, 3, 3, 2, 2, 3, 0, 2, 2, 2, 3, 1, 2, 2, 1, 1, 0, 1, 1, 0, 0, 2, 2, 1, 1, 0, 15
3, 0, 0, 1, 1, 3, 0, 2, 3, 0, 2, 1, 0, 1, 2, 2, 1, 1, 0, 0, 3, 1, 0, 1, 1, 2, 0, 3, 2, 2, 0, 3, 14
3, 0, 0, 1, 1, 3, 0, 2, 3, 0, 2, 1, 0, 1, 2, 2, 1, 1, 3, 0, 3, 1, 0, 1, 1, 2, 0, 3, 2, 2, 0, 3, 13
2, 0, 3, 3, 2, 3, 0, 0, 2, 2, 0, 3, 3, 1, 3, 3, 1, 1, 2, 0, 1, 0, 2, 1, 1, 0, 0, 0, 3, 1, 3, 0, 13
1, 0, 2, 2, 2, 1, 0, 1, 2, 0, 0, 1, 1, 3, 1, 3, 2, 1, 3, 2, 2, 0, 2, 0, 1, 0, 3, 1, 2, 0, 3, 3, 13
2, 0, 3, 3, 2, 3, 0, 3, 3, 2, 2, 3, 1, 3, 2, 1, 1, 1, 2, 3, 3, 1, 3, 1, 1, 2, 0, 0, 2, 1, 0, 0, 12
0, 3, 3, 2, 3, 2, 3, 1, 2, 2, 2, 2, 0, 0, 2, 1, 0, 3, 0, 3, 2, 2, 0, 0, 1, 3, 2, 2, 0, 1, 1, 0, 12
1, 3, 2, 3, 2, 1, 0, 3, 2, 3, 0, 1, 0, 3, 1, 3, 0, 3, 3, 2, 2, 0, 2, 0, 1, 1, 3, 1, 1, 3, 3, 2, 12
0, 0, 0, 3, 1, 3, 3, 3, 1, 2, 2, 3, 0, 2, 2, 2, 3, 1, 2, 2, 3, 1, 0, 1, 1, 0, 0, 2, 2, 1, 1, 0, 12
2, 3, 3, 3, 2, 3, 0, 3, 3, 2, 2, 3, 0, 3, 2, 1, 1, 1, 2, 3, 3, 1, 3, 1, 1, 3, 0, 0, 2, 2, 0, 0, 11
1, 1, 0, 0, 1, 2, 3, 2, 3, 0, 2, 1, 0, 2, 2, 2, 3, 3, 2, 2, 3, 0, 2, 1, 0, 2, 0, 2, 2, 1, 2, 0, 11
3, 0, 3, 1, 1, 3, 0, 2, 3, 0, 2, 3, 0, 1, 2, 2, 2, 1, 1, 3, 3, 1, 0, 1, 1, 2, 0, 3, 0, 2, 2, 3, 11
