3, 0, 0, 3, 1, 1, 2, 2, 207
3, 0, 0, 0, 1, 1, 1, 2, 151
3, 0, 0, 3, 1, 1, 3, 2, 99
3, 1, 2, 3, 1, 1, 3, 2, 86
1, 2, 1, 2, 0, 2, 3, 3, 83
3, 1, 2, 3, 2, 1, 3, 2, 76
3, 0, 0, 3, 1, 1, 2, 0, 76
3, 0, 0, 3, 1, 1, 1, 2, 67
3, 0, 0, 3, 1, 3, 3, 2, 53
3, 0, 0, 0, 1, 1, 2, 0, 35
3, 0, 0, 1, 1, 1, 3, 2, 21
3, 0, 0, 3, 0, 1, 2, 1, 15
1, 0, 1, 2, 0, 2, 3, 3, 8
2, 0, 0, 3, 1, 1, 2, 2, 6
2, 0, 0, 3, 1, 1, 3, 2, 5
1, 2, 1, 2, 1, 2, 3, 3, 5
3, 3, 0, 3, 1, 1, 2, 0, 5
3, 3, 0, 3, 1, 1, 3, 2, 4
3, 0, 1, 3, 1, 3, 2, 0, 4
3, 0, 0, 3, 3, 1, 2, 2, 3
3, 2, 0, 0, 1, 1, 1, 2, 2
3, 0, 0, 2, 1, 1, 2, 2, 2
3, 0, 0, 3, 1, 1, 1, 1, 1
3, 1, 2, 3, 2, 1, 3, 1, 1
1, 2, 1, 2, 0, 1, 3, 3, 1
3, 0, 0, 3, 1, 3, 2, 2, 1
3, 1, 2, 3, 2, 1, 3, 3, 1
3, 1, 0, 3, 1, 3, 3, 2, 1
3, 2, 0, 3, 1, 1, 2, 0, 1
3, 0, 2, 3, 1, 1, 3, 2, 1
2, 0, 0, 3, 1, 3, 3, 2, 1
1, 2, 1, 2, 2, 2, 3, 3, 1
3, 2, 1, 2, 0, 2, 3, 3, 1
