1, 3, 2, 3, 3, 0, 2, 3, 32
3, 1, 0, 3, 0, 1, 3, 3, 27
1, 2, 3, 1, 2, 2, 0, 2, 26
3, 1, 3, 3, 2, 0, 3, 1, 25
1, 2, 2, 3, 1, 0, 2, 2, 22
0, 3, 1, 3, 0, 3, 2, 2, 21
1, 2, 3, 3, 1, 1, 0, 1, 20
2, 1, 3, 0, 3, 0, 0, 1, 19
3, 1, 0, 2, 2, 1, 2, 2, 18
1, 1, 0, 2, 2, 1, 2, 3, 18
2, 0, 1, 3, 3, 0, 2, 1, 17
2, 0, 3, 0, 1, 0, 2, 3, 16
2, 1, 1, 1, 0, 2, 1, 3, 16
0, 3, 1, 3, 0, 3, 3, 2, 15
3, 3, 3, 0, 1, 2, 2, 0, 15
0, 1, 3, 1, 2, 1, 2, 2, 15
0, 1, 3, 0, 2, 3, 1, 3, 15
0, 0, 1, 1, 0, 1, 2, 0, 15
0, 1, 1, 1, 0, 0, 1, 3, 14
2, 1, 0, 0, 2, 1, 1, 3, 13
0, 2, 2, 1, 1, 1, 3, 1, 13
3, 1, 3, 0, 2, 1, 1, 1, 11
3, 2, 2, 1, 3, 1, 3, 1, 11
2, 2, 0, 1, 1, 0, 3, 0, 10
1, 2, 0, 3, 1, 0, 2, 0, 10
3, 2, 3, 0, 3, 0, 0, 1, 10
2, 0, 3, 1, 1, 0, 2, 3, 9
1, 1, 3, 1, 0, 0, 1, 3, 9
0, 3, 2, 3, 1, 0, 2, 3, 9
3, 1, 0, 3, 0, 1, 2, 3, 9
3, 1, 3, 0, 3, 0, 2, 1, 9
0, 2, 1, 1, 0, 0, 1, 3, 9
2, 2, 2, 1, 2, 2, 3, 1, 9
1, 2, 2, 1, 2, 3, 2, 3, 9
2, 1, 1, 0, 3, 0, 0, 1, 9
1, 1, 3, 0, 2, 3, 1, 3, 9
1, 1, 3, 1, 0, 0, 2, 3, 8
3, 0, 3, 2, 2, 1, 2, 3, 8
2, 1, 1, 1, 0, 3, 1, 3, 7
0, 1, 1, 0, 0, 0, 1, 3, 7
1, 3, 2, 3, 1, 0, 0, 2, 7
0, 1, 2, 0, 1, 2, 2, 3, 7
1, 0, 1, 3, 1, 0, 1, 3, 7
0, 0, 1, 3, 0, 1, 2, 0, 7
3, 2, 3, 2, 2, 0, 2, 3, 7
3, 3, 2, 2, 0, 2, 2, 1, 6
2, 3, 3, 0, 1, 2, 2, 2, 6
3, 2, 3, 0, 2, 2, 2, 3, 6
